Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
85,K7NP,442.375000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
86,NB7N,442.450000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
87,W7CPU,442.925000,-,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
88,N7EHP,443.150000,-,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
89,WW7MST,443.675000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
90,N7QOR,443.950000,-,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
91,K7HW,444.175000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
92,KB7CNN,444.750000,-,5.000000,Tone,192.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
93,NB7N,446.350000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
94,KF6VTA,441.450000,-,5.000000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
95,N6TJQ,441.850000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
96,WA7FW,442.950000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
97,KS0F,443.575000,-,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
98,K7FDF,443.600000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
99,N7OEP,440.075000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
100,N7BUW,444.675000,-,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
101,FRS01,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
102,FRS02,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
103,FRS03,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
104,FRS04,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
105,FRS05,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
106,FRS06,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
107,FRS07,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
